name,gender,age,city,platform_primary,platform_secondary,sector,tenure_platform_1_months,tenure_platform_2_months,working_hours_per_day,rating,avg_monthly_earnings,total_earnings,std_dev_earnings,recurring_expenses,cash_inflow_to_outflow_ratio,savings,net_savings_ratio,emergency_fund_months_covered,dependent_count,credit_card_user,credit_score,credit_history_length_months,education,loan_amount_requested,loan_term_months,interest_rate,purpose_of_loan,location_stability,earnings_trend_slope_6mo,num_loan_rejections_6mo,assets_inr,repayment_status
Yatan Biswas,Male,46,Sangli-Miraj & Kupwad,Uber,Ola,cab,26,31,14,3.6,8912,106944,2631.42,3567,0.89,25000,0.23,4.0,0,False,,0,12th,140608,36,17.35,vehicle,unstable,-0.05,0,{},0.0
David Thaker,Male,35,Madurai,HandyManGo,QuickFix,other,9,14,10,4.250589256019087,31659,379908,5455.09,12990,1.37,0,0.0,3.6,1,False,,0,12th,29457,24,15.95,vehicle,stable,-0.22,1,{},0.0
Harita Banik,Female,38,Shimla,UrbanClap,Yes Madam,beauty,11,12,9,3.5,12920,155040,1932.57,6306,1.2,0,0.0,0.1,0,True,691.0,33,graduate,139312,24,18.48,vehicle,semi-stable,0.07,0,"{""vehicle"": 217210}",0.0
Vasana Minhas,Female,20,Amritsar,HouseHelpIndia,,domestic,34,0,9,4.250589256019087,33555,402660,4441.59,16586,0.94,10000,0.02,2.0,2,False,,0,10th,72623,36,18.38,business,stable,-0.01,0,"{""vehicle"": 270820, ""land"": 420668}",0.0
Dakshesh Kale,Male,44,Sirsa,Zomato,Zepto,food_delivery,53,56,12,3.8,17357,208284,3909.2,11853,1.5,0,0.0,1.3,2,False,,0,graduate,61005,24,23.6,vehicle,stable,-0.04,0,{},1.0
Samuel Mall,Male,21,Tadipatri,Rapido,Ola,cab,8,4,12,3.7,24636,295632,8364.01,14862,1.37,0,0.0,0.1,1,False,,0,10th,143983,12,11.35,medical,stable,0.02,0,"{""home"": 949737}",0.0
Ridhi Kumer,Female,29,Katni,KaamWaliBai,HouseHelpIndia,domestic,35,36,9,4.250589256019087,25951,311412,5744.32,17665,1.14,10000,0.03,3.1,0,False,,0,12th,136063,36,11.42,medical,stable,0.1,0,"{""home"": 690479}",1.0
Radha Jain,Female,34,Ambattur,UrbanClap,Yes Madam,beauty,30,24,8,4.3,32029,384348,10840.0,19753,1.46,0,0.0,1.1,2,True,348.0,28,10th,134123,24,16.58,debt_consolidation,semi-stable,-0.02,0,{},0.0
Nachiket Vala,Male,35,Chennai,Swiggy,Zomato,food_delivery,28,22,10,3.9,22262,267144,3923.66,9817,0.76,10000,0.04,2.8,1,False,,0,10th,39592,24,18.56,medical,stable,-0.06,1,"{""vehicle"": 194716}",0.0
Arjun Chacko,Male,39,Ujjain,Zepto,Zomato,food_delivery,41,38,11,4.9,9067,108804,1645.32,4156,1.05,10000,0.09,1.6,0,False,,0,10th,104476,24,23.57,business,stable,0.04,0,"{""vehicle"": 96083, ""home"": 813977}",0.0
Balendra Chahal,Male,42,Kanpur,Zomato,,food_delivery,18,0,8,3.9,31653,379836,7149.78,13802,0.84,0,0.0,1.4,1,True,346.0,9,10th,88781,24,19.85,vehicle,stable,-0.2,1,"{""home"": 318365}",0.0
Dakshesh Chaudhary,Male,21,Aizawl,Zepto,Instamart,food_delivery,35,36,8,4.1,20078,240936,7678.62,9211,0.72,25000,0.1,0.3,1,True,685.0,33,10th,133633,12,19.56,vehicle,semi-stable,0.21,0,"{""vehicle"": 223222}",0.0
Yatan Rai,Male,26,Bidar,Zomato,Zepto,food_delivery,25,27,8,4.5,24370,292440,4181.38,12510,0.77,0,0.0,2.1,0,False,,0,10th,129180,12,22.54,wedding,unstable,0.03,2,"{""vehicle"": 207959}",0.0
Qasim Malhotra,Male,40,Sagar,HouseHelpIndia,KaamWaliBai,domestic,20,25,8,4.250589256019087,8279,99348,1699.47,5390,0.89,10000,0.1,3.5,0,False,,0,12th,49081,36,15.55,vehicle,stable,0.18,0,{},0.0
Chandran Sanghvi,Male,23,Davanagere,Yes Madam,,beauty,22,0,9,4.1,18666,223992,3287.17,8125,1.47,0,0.0,2.6,2,False,,0,12th,71629,12,15.6,medical,stable,-0.12,0,"{""home"": 1369371}",0.0
Warjas Kashyap,Male,36,Varanasi,QuickFix,HandyManGo,other,14,17,6,4.250589256019087,34603,415236,3932.07,23083,1.48,25000,0.06,1.8,1,False,,0,10th,56427,24,19.06,wedding,stable,0.18,2,{},1.0
